function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
tanh,c_arb,64,,,,9.42015e-07,0.126417,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,jax_basic,64,8.76035e-17,3.33067e-16,0,9.42015e-07,0.527606,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,jax_adaptive,64,2.41117e-13,3.85025e-13,0,9.42015e-07,1.335,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,jax_rigorous,64,2.41117e-13,3.85025e-13,0,9.42016e-07,0.649058,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,scipy,64,2.41126e-13,3.84914e-13,1,,0.020823,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,jax_point,64,2.41117e-13,3.85025e-13,1,,0.39753,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,mpmath,64,2.41127e-13,3.84914e-13,1,,1.04701,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,boost,64,2.41135e-13,3.85025e-13,1,,14.9536,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,c_arb,64,,,,8.92139e-07,0.145335,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,jax_basic,64,1.04083e-17,2.22045e-16,0,8.92139e-07,0.47797,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,jax_adaptive,64,3.59838e-13,6.94517e-12,0,8.9214e-07,0.399261,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,jax_rigorous,64,3.59838e-13,6.94517e-12,0,8.92141e-07,0.391683,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,scipy,64,3.59838e-13,6.94517e-12,1,,0.006939,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,jax_point,64,3.59838e-13,6.94517e-12,1,,0.306954,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,mpmath,64,3.59838e-13,6.94517e-12,1,,0.284085,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sqrt,boost,64,3.59838e-13,6.94517e-12,1,,11.6454,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,c_arb,64,,,,2.78508e-06,0.057455,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,jax_basic,64,1.17961e-16,8.88178e-16,0,2.78508e-06,0.635644,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,jax_adaptive,64,9.09082e-13,1.84475e-12,0,2.78508e-06,0.429516,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,jax_rigorous,64,9.09082e-13,1.84475e-12,0,2.78508e-06,0.510973,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,scipy,64,9.09089e-13,1.84475e-12,1,,0.009721,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,jax_point,64,9.09082e-13,1.84475e-12,1,,0.272794,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,mpmath,64,9.09099e-13,1.84475e-12,1,,0.506343,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cosh,boost,64,9.09089e-13,1.84475e-12,1,,6.7632,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,c_arb,64,,,,1.21681e-06,0.071395,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,jax_basic,64,6.54858e-17,2.22045e-16,0,1.21681e-06,0.559477,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,jax_adaptive,64,3.34242e-13,5.00044e-13,0,1.21681e-06,0.400603,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,jax_rigorous,64,3.34242e-13,5.00044e-13,0,1.21681e-06,0.452384,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,scipy,64,3.34242e-13,5.00044e-13,1,,0.018771,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
