bin_left,bin_right,count
7.03881e-14,2.08686e-13,37
2.08686e-13,3.46985e-13,19
3.46985e-13,4.85283e-13,9
4.85283e-13,6.23581e-13,9
6.23581e-13,7.61879e-13,8
7.61879e-13,9.00178e-13,1
9.00178e-13,1.03848e-12,1
1.03848e-12,1.17677e-12,6
1.17677e-12,1.31507e-12,0
1.31507e-12,1.45337e-12,5
1.45337e-12,1.59167e-12,4
1.59167e-12,1.72997e-12,3
1.72997e-12,1.86827e-12,4
1.86827e-12,2.00656e-12,4
2.00656e-12,2.14486e-12,4
2.14486e-12,2.28316e-12,6
2.28316e-12,2.42146e-12,0
2.42146e-12,2.55976e-12,1
2.55976e-12,2.69806e-12,0
2.69806e-12,2.83635e-12,2
2.83635e-12,2.97465e-12,1
2.97465e-12,3.11295e-12,1
3.11295e-12,3.25125e-12,1
3.25125e-12,3.38955e-12,0
3.38955e-12,3.52784e-12,2
