bin_left,bin_right,count
5.86198e-14,2.03082e-12,107
2.03082e-12,4.00302e-12,6
4.00302e-12,5.97522e-12,7
5.97522e-12,7.94742e-12,0
7.94742e-12,9.91962e-12,2
9.91962e-12,1.18918e-11,1
1.18918e-11,1.3864e-11,0
1.3864e-11,1.58362e-11,1
1.58362e-11,1.78084e-11,0
1.78084e-11,1.97806e-11,1
1.97806e-11,2.17528e-11,0
2.17528e-11,2.3725e-11,0
2.3725e-11,2.56972e-11,0
2.56972e-11,2.76694e-11,2
2.76694e-11,2.96416e-11,0
2.96416e-11,3.16138e-11,0
3.16138e-11,3.3586e-11,0
3.3586e-11,3.55582e-11,0
3.55582e-11,3.75304e-11,0
3.75304e-11,3.95026e-11,0
3.95026e-11,4.14748e-11,0
4.14748e-11,4.3447e-11,0
4.3447e-11,4.54192e-11,0
4.54192e-11,4.73914e-11,0
4.73914e-11,4.93636e-11,1
