bin_left,bin_right,count
2.97245e-15,2.28509e-14,2
2.28509e-14,4.27293e-14,1
4.27293e-14,6.26078e-14,1
6.26078e-14,8.24862e-14,4
8.24862e-14,1.02365e-13,4
1.02365e-13,1.22243e-13,6
1.22243e-13,1.42122e-13,2
1.42122e-13,1.62e-13,4
1.62e-13,1.81878e-13,3
1.81878e-13,2.01757e-13,4
2.01757e-13,2.21635e-13,3
2.21635e-13,2.41514e-13,3
2.41514e-13,2.61392e-13,2
2.61392e-13,2.81271e-13,5
2.81271e-13,3.01149e-13,4
3.01149e-13,3.21027e-13,5
3.21027e-13,3.40906e-13,3
3.40906e-13,3.60784e-13,2
3.60784e-13,3.80663e-13,2
3.80663e-13,4.00541e-13,7
4.00541e-13,4.2042e-13,5
4.2042e-13,4.40298e-13,12
4.40298e-13,4.60177e-13,3
4.60177e-13,4.80055e-13,10
4.80055e-13,4.99933e-13,31
