bin_left,bin_right,count
0,3.55271e-17,83
3.55271e-17,7.10543e-17,5
7.10543e-17,1.06581e-16,1
1.06581e-16,1.42109e-16,16
1.42109e-16,1.77636e-16,0
1.77636e-16,2.13163e-16,0
2.13163e-16,2.4869e-16,14
2.4869e-16,2.84217e-16,0
2.84217e-16,3.19744e-16,0
3.19744e-16,3.55271e-16,0
3.55271e-16,3.90799e-16,0
3.90799e-16,4.26326e-16,0
4.26326e-16,4.61853e-16,7
4.61853e-16,4.9738e-16,0
4.9738e-16,5.32907e-16,0
5.32907e-16,5.68434e-16,0
5.68434e-16,6.03961e-16,0
6.03961e-16,6.39488e-16,0
6.39488e-16,6.75016e-16,0
6.75016e-16,7.10543e-16,0
7.10543e-16,7.4607e-16,0
7.4607e-16,7.81597e-16,0
7.81597e-16,8.17124e-16,0
8.17124e-16,8.52651e-16,0
8.52651e-16,8.88178e-16,2
