bin_left,bin_right,count
1.98192e-15,7.19977e-14,11
7.19977e-14,1.42013e-13,7
1.42013e-13,2.12029e-13,9
2.12029e-13,2.82045e-13,6
2.82045e-13,3.52061e-13,2
3.52061e-13,4.22077e-13,5
4.22077e-13,4.92092e-13,4
4.92092e-13,5.62108e-13,8
5.62108e-13,6.32124e-13,9
6.32124e-13,7.0214e-13,5
7.0214e-13,7.72155e-13,7
7.72155e-13,8.42171e-13,6
8.42171e-13,9.12187e-13,4
9.12187e-13,9.82203e-13,9
9.82203e-13,1.05222e-12,5
1.05222e-12,1.12223e-12,5
1.12223e-12,1.19225e-12,2
1.19225e-12,1.26227e-12,4
1.26227e-12,1.33228e-12,2
1.33228e-12,1.4023e-12,3
1.4023e-12,1.47231e-12,2
1.47231e-12,1.54233e-12,1
1.54233e-12,1.61234e-12,4
1.61234e-12,1.68236e-12,2
1.68236e-12,1.75238e-12,6
