bin_left,bin_right,count
1.57652e-14,7.60412e-13,120
7.60412e-13,1.50506e-12,5
1.50506e-12,2.2497e-12,1
2.2497e-12,2.99435e-12,0
2.99435e-12,3.739e-12,0
3.739e-12,4.48364e-12,0
4.48364e-12,5.22829e-12,0
5.22829e-12,5.97294e-12,0
5.97294e-12,6.71758e-12,0
6.71758e-12,7.46223e-12,0
7.46223e-12,8.20688e-12,0
8.20688e-12,8.95152e-12,0
8.95152e-12,9.69617e-12,0
9.69617e-12,1.04408e-11,0
1.04408e-11,1.11855e-11,0
1.11855e-11,1.19301e-11,1
1.19301e-11,1.26748e-11,0
1.26748e-11,1.34194e-11,0
1.34194e-11,1.4164e-11,0
1.4164e-11,1.49087e-11,0
1.49087e-11,1.56533e-11,0
1.56533e-11,1.6398e-11,0
1.6398e-11,1.71426e-11,0
1.71426e-11,1.78873e-11,0
1.78873e-11,1.86319e-11,1
