bin_left,bin_right,count
6.13051e-15,2.18853e-13,28
2.18853e-13,4.31575e-13,23
4.31575e-13,6.44297e-13,12
6.44297e-13,8.57019e-13,13
8.57019e-13,1.06974e-12,8
1.06974e-12,1.28246e-12,7
1.28246e-12,1.49519e-12,5
1.49519e-12,1.70791e-12,5
1.70791e-12,1.92063e-12,4
1.92063e-12,2.13335e-12,4
2.13335e-12,2.34607e-12,2
2.34607e-12,2.5588e-12,2
2.5588e-12,2.77152e-12,2
2.77152e-12,2.98424e-12,0
2.98424e-12,3.19696e-12,1
3.19696e-12,3.40969e-12,1
3.40969e-12,3.62241e-12,0
3.62241e-12,3.83513e-12,0
3.83513e-12,4.04785e-12,1
4.04785e-12,4.26057e-12,2
4.26057e-12,4.4733e-12,0
4.4733e-12,4.68602e-12,3
4.68602e-12,4.89874e-12,1
4.89874e-12,5.11146e-12,2
5.11146e-12,5.32419e-12,2
