bin_left,bin_right,count
1.13382e-14,2.62812e-14,3
2.62812e-14,4.12242e-14,0
4.12242e-14,5.61673e-14,1
5.61673e-14,7.11103e-14,1
7.11103e-14,8.60534e-14,8
8.60534e-14,1.00996e-13,6
1.00996e-13,1.15939e-13,4
1.15939e-13,1.30883e-13,4
1.30883e-13,1.45826e-13,5
1.45826e-13,1.60769e-13,5
1.60769e-13,1.75712e-13,14
1.75712e-13,1.90655e-13,6
1.90655e-13,2.05598e-13,3
2.05598e-13,2.20541e-13,5
2.20541e-13,2.35484e-13,5
2.35484e-13,2.50427e-13,4
2.50427e-13,2.6537e-13,4
2.6537e-13,2.80313e-13,2
2.80313e-13,2.95256e-13,3
2.95256e-13,3.10199e-13,3
3.10199e-13,3.25142e-13,6
3.25142e-13,3.40085e-13,12
3.40085e-13,3.55028e-13,4
3.55028e-13,3.69971e-13,4
3.69971e-13,3.84914e-13,16
