bin_left,bin_right,count
9.89226e-16,2.09426e-14,6
2.09426e-14,4.08959e-14,6
4.08959e-14,6.08492e-14,2
6.08492e-14,8.08025e-14,4
8.08025e-14,1.00756e-13,6
1.00756e-13,1.20709e-13,5
1.20709e-13,1.40663e-13,3
1.40663e-13,1.60616e-13,2
1.60616e-13,1.80569e-13,3
1.80569e-13,2.00522e-13,8
2.00522e-13,2.20476e-13,2
2.20476e-13,2.40429e-13,5
2.40429e-13,2.60382e-13,2
2.60382e-13,2.80336e-13,5
2.80336e-13,3.00289e-13,6
3.00289e-13,3.20242e-13,1
3.20242e-13,3.40196e-13,6
3.40196e-13,3.60149e-13,6
3.60149e-13,3.80102e-13,2
3.80102e-13,4.00056e-13,3
4.00056e-13,4.20009e-13,4
4.20009e-13,4.39962e-13,5
4.39962e-13,4.59916e-13,12
4.59916e-13,4.79869e-13,10
4.79869e-13,4.99822e-13,14
