bin_left,bin_right,count
5.52162e-15,7.75097e-14,8
7.75097e-14,1.49498e-13,4
1.49498e-13,2.21486e-13,8
2.21486e-13,2.93474e-13,4
2.93474e-13,3.65462e-13,8
3.65462e-13,4.3745e-13,10
4.3745e-13,5.09438e-13,7
5.09438e-13,5.81426e-13,8
5.81426e-13,6.53414e-13,7
6.53414e-13,7.25402e-13,5
7.25402e-13,7.9739e-13,5
7.9739e-13,8.69378e-13,3
8.69378e-13,9.41366e-13,3
9.41366e-13,1.01335e-12,7
1.01335e-12,1.08534e-12,4
1.08534e-12,1.15733e-12,7
1.15733e-12,1.22932e-12,1
1.22932e-12,1.30131e-12,0
1.30131e-12,1.37329e-12,5
1.37329e-12,1.44528e-12,2
1.44528e-12,1.51727e-12,4
1.51727e-12,1.58926e-12,7
1.58926e-12,1.66125e-12,5
1.66125e-12,1.73323e-12,1
1.73323e-12,1.80522e-12,5
