bin_left,bin_right,count
1.57652e-14,1.2892e-12,124
1.2892e-12,2.56263e-12,3
2.56263e-12,3.83606e-12,0
3.83606e-12,5.10949e-12,0
5.10949e-12,6.38292e-12,0
6.38292e-12,7.65635e-12,0
7.65635e-12,8.92978e-12,0
8.92978e-12,1.02032e-11,0
1.02032e-11,1.14766e-11,0
1.14766e-11,1.27501e-11,0
1.27501e-11,1.40235e-11,0
1.40235e-11,1.52969e-11,0
1.52969e-11,1.65704e-11,0
1.65704e-11,1.78438e-11,0
1.78438e-11,1.91172e-11,0
1.91172e-11,2.03906e-11,0
2.03906e-11,2.16641e-11,0
2.16641e-11,2.29375e-11,0
2.29375e-11,2.42109e-11,0
2.42109e-11,2.54844e-11,0
2.54844e-11,2.67578e-11,0
2.67578e-11,2.80312e-11,0
2.80312e-11,2.93047e-11,0
2.93047e-11,3.05781e-11,0
3.05781e-11,3.18515e-11,1
