bin_left,bin_right,count
0,8.88178e-18,47
8.88178e-18,1.77636e-17,3
1.77636e-17,2.66454e-17,0
2.66454e-17,3.55271e-17,4
3.55271e-17,4.44089e-17,0
4.44089e-17,5.32907e-17,0
5.32907e-17,6.21725e-17,12
6.21725e-17,7.10543e-17,0
7.10543e-17,7.99361e-17,0
7.99361e-17,8.88178e-17,0
8.88178e-17,9.76996e-17,0
9.76996e-17,1.06581e-16,0
1.06581e-16,1.15463e-16,35
1.15463e-16,1.24345e-16,0
1.24345e-16,1.33227e-16,0
1.33227e-16,1.42109e-16,0
1.42109e-16,1.5099e-16,0
1.5099e-16,1.59872e-16,0
1.59872e-16,1.68754e-16,0
1.68754e-16,1.77636e-16,0
1.77636e-16,1.86517e-16,0
1.86517e-16,1.95399e-16,0
1.95399e-16,2.04281e-16,0
2.04281e-16,2.13163e-16,0
2.13163e-16,2.22045e-16,27
