bin_left,bin_right,count
5.00044e-13,5.51861e-13,20
5.51861e-13,6.03677e-13,7
6.03677e-13,6.55493e-13,3
6.55493e-13,7.0731e-13,3
7.0731e-13,7.59126e-13,3
7.59126e-13,8.10942e-13,0
8.10942e-13,8.62759e-13,2
8.62759e-13,9.14575e-13,2
9.14575e-13,9.66391e-13,4
9.66391e-13,1.01821e-12,1
1.01821e-12,1.07002e-12,4
1.07002e-12,1.12184e-12,0
1.12184e-12,1.17366e-12,0
1.17366e-12,1.22547e-12,3
1.22547e-12,1.27729e-12,1
1.27729e-12,1.32911e-12,1
1.32911e-12,1.38092e-12,1
1.38092e-12,1.43274e-12,1
1.43274e-12,1.48455e-12,2
1.48455e-12,1.53637e-12,1
1.53637e-12,1.58819e-12,1
1.58819e-12,1.64e-12,1
1.64e-12,1.69182e-12,1
1.69182e-12,1.74364e-12,0
1.74364e-12,1.79545e-12,2
