bin_left,bin_right,count
7.14984e-14,2.16112e-13,22
2.16112e-13,3.60725e-13,7
3.60725e-13,5.05338e-13,7
5.05338e-13,6.49951e-13,3
6.49951e-13,7.94564e-13,5
7.94564e-13,9.39178e-13,3
9.39178e-13,1.08379e-12,1
1.08379e-12,1.2284e-12,2
1.2284e-12,1.37302e-12,1
1.37302e-12,1.51763e-12,3
1.51763e-12,1.66224e-12,1
1.66224e-12,1.80686e-12,1
1.80686e-12,1.95147e-12,2
1.95147e-12,2.09608e-12,0
2.09608e-12,2.2407e-12,2
2.2407e-12,2.38531e-12,0
2.38531e-12,2.52992e-12,2
2.52992e-12,2.67454e-12,0
2.67454e-12,2.81915e-12,0
2.81915e-12,2.96376e-12,1
2.96376e-12,3.10838e-12,0
3.10838e-12,3.25299e-12,0
3.25299e-12,3.3976e-12,0
3.3976e-12,3.54222e-12,0
3.54222e-12,3.68683e-12,1
