bin_left,bin_right,count
0,7.10543e-17,50
7.10543e-17,1.42109e-16,5
1.42109e-16,2.13163e-16,0
2.13163e-16,2.84217e-16,2
2.84217e-16,3.55271e-16,0
3.55271e-16,4.26326e-16,0
4.26326e-16,4.9738e-16,3
4.9738e-16,5.68434e-16,0
5.68434e-16,6.39488e-16,0
6.39488e-16,7.10543e-16,0
7.10543e-16,7.81597e-16,0
7.81597e-16,8.52651e-16,0
8.52651e-16,9.23706e-16,3
9.23706e-16,9.9476e-16,0
9.9476e-16,1.06581e-15,0
1.06581e-15,1.13687e-15,0
1.13687e-15,1.20792e-15,0
1.20792e-15,1.27898e-15,0
1.27898e-15,1.35003e-15,0
1.35003e-15,1.42109e-15,0
1.42109e-15,1.49214e-15,0
1.49214e-15,1.56319e-15,0
1.56319e-15,1.63425e-15,0
1.63425e-15,1.7053e-15,0
1.7053e-15,1.77636e-15,1
