function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes
tan,c_arb,64,,,,3.18877e-06,0.796446,
tan,jax_basic,64,2.60209e-17,2.22045e-16,0,3.18877e-06,0.644958,
tan,jax_adaptive,64,1.29664e-12,5.18252e-12,0,3.18878e-06,0.616444,
tan,jax_rigorous,64,1.29664e-12,5.18252e-12,0,3.18878e-06,0.649211,
tan,scipy,64,1.29664e-12,5.18252e-12,1,,0.023482,
tan,jax_point,64,1.29664e-12,5.18252e-12,1,,0.406665,
tan,mpmath,64,1.29664e-12,5.18252e-12,1,,2.08985,
tan,boost,64,1.29664e-12,5.18252e-12,1,,12.769,
sin,c_arb,64,,,,1.33267e-06,0.110782,
sin,jax_basic,64,6.8957e-17,2.22045e-16,0,1.33267e-06,0.738447,
sin,jax_adaptive,64,2.98569e-13,4.99933e-13,0,1.33267e-06,0.503369,
sin,jax_rigorous,64,2.98569e-13,4.99933e-13,0,1.33267e-06,0.775614,
sin,scipy,64,2.98569e-13,4.99933e-13,1,,0.021889,
sin,jax_point,64,2.98569e-13,4.99933e-13,1,,0.344451,
sin,mpmath,64,2.98569e-13,4.99933e-13,1,,1.88116,
sin,boost,64,2.98569e-13,4.99933e-13,1,,9.48214,
log,c_arb,64,,,,1.98976e-06,0.162717,
log,jax_basic,64,4.00071e-17,2.22045e-16,0,1.98976e-06,0.612996,
log,jax_adaptive,64,1.16827e-12,3.01075e-11,0,1.98977e-06,0.441394,
log,jax_rigorous,64,1.16827e-12,3.01075e-11,0,1.98977e-06,0.455818,
log,scipy,64,1.16827e-12,3.01075e-11,1,,0.004577,
log,jax_point,64,1.16827e-12,3.01075e-11,1,,0.36703,
log,mpmath,64,1.16827e-12,3.01075e-11,1,,1.53942,
log,boost,64,1.16827e-12,3.01075e-11,1,,8.91546,
cos,c_arb,64,,,,1.21681e-06,0.086122,
cos,jax_basic,64,6.54858e-17,2.22045e-16,0,1.21681e-06,0.66892,
cos,jax_adaptive,64,3.34242e-13,5.00044e-13,0,1.21681e-06,0.724727,
cos,jax_rigorous,64,3.34242e-13,5.00044e-13,0,1.21681e-06,1.51539,
cos,scipy,64,3.34242e-13,5.00044e-13,1,,0.010224,
cos,jax_point,64,3.34242e-13,5.00044e-13,1,,0.662897,
cos,mpmath,64,3.34242e-13,5.00044e-13,1,,2.84517,
cos,boost,64,3.34242e-13,5.00044e-13,1,,13.2246,
sqrt,c_arb,64,,,,9.28411e-07,0.262132,
sqrt,jax_basic,64,8.67362e-18,2.22045e-16,0,9.28411e-07,0.540589,
sqrt,jax_adaptive,64,1.76466e-12,1.05462e-10,0,9.28414e-07,0.59975,
sqrt,jax_rigorous,64,1.76466e-12,1.05462e-10,0,9.28418e-07,0.454352,
sqrt,scipy,64,1.76466e-12,1.05462e-10,1,,0.006285,
sqrt,jax_point,64,1.76466e-12,1.05462e-10,1,,1.02075,
sqrt,mpmath,64,1.76466e-12,1.05462e-10,1,,1.31199,
sqrt,boost,64,1.76466e-12,1.05462e-10,1,,17.3236,
sinh,c_arb,64,,,,3.62601e-06,0.108316,
sinh,jax_basic,64,8.79288e-17,4.44089e-16,0,3.62601e-06,0.529613,
sinh,jax_adaptive,64,6.90115e-13,1.7546e-12,0,3.62601e-06,0.649133,
sinh,jax_rigorous,64,6.90115e-13,1.7546e-12,0,3.62601e-06,0.618297,
sinh,scipy,64,6.90104e-13,1.75415e-12,1,,0.009671,
sinh,jax_point,64,6.90115e-13,1.7546e-12,1,,0.458561,
sinh,mpmath,64,6.90116e-13,1.75415e-12,1,,0.780929,
sinh,boost,64,6.90104e-13,1.75415e-12,1,,8.86504,
exp,c_arb,64,,,,4.37061e-06,0.134692,
exp,jax_basic,64,1.08854e-16,1.77636e-15,0,4.37061e-06,0.516974,
exp,jax_adaptive,64,1.09264e-12,3.56071e-12,0,4.37061e-06,0.771355,
exp,jax_rigorous,64,1.09264e-12,3.56071e-12,0,4.37062e-06,1.04656,
exp,scipy,64,1.09265e-12,3.56071e-12,1,,0.012035,
exp,jax_point,64,1.09264e-12,3.56071e-12,1,,9.8284,
exp,mpmath,64,1.09265e-12,3.56071e-12,1,,1.14136,
exp,boost,64,1.09265e-12,3.56071e-12,1,,19.2016,
cosh,c_arb,64,,,,2.49576e-06,0.873891,
cosh,jax_basic,64,1.00614e-16,8.88178e-16,0,2.49576e-06,1.72715,
cosh,jax_adaptive,64,8.56381e-13,1.79545e-12,0,2.49576e-06,1.80401,
cosh,jax_rigorous,64,8.56381e-13,1.79545e-12,0,2.49576e-06,0.926188,
cosh,scipy,64,8.5635e-13,1.79501e-12,1,,0.02115,
cosh,jax_point,64,8.56381e-13,1.79545e-12,1,,0.712298,
cosh,mpmath,64,8.56367e-13,1.79501e-12,1,,1.66519,
cosh,boost,64,8.5635e-13,1.79501e-12,1,,17.2588,
tanh,c_arb,64,,,,1.02871e-06,0.110531,
tanh,jax_basic,64,6.92805e-17,3.33067e-16,0,1.02871e-06,0.570375,
tanh,jax_adaptive,64,2.45843e-13,3.84137e-13,0,1.02871e-06,0.524993,
tanh,jax_rigorous,64,2.45843e-13,3.84137e-13,0,1.02871e-06,0.430479,
tanh,scipy,64,2.45842e-13,3.84137e-13,1,,0.008314,
tanh,jax_point,64,2.45843e-13,3.84137e-13,1,,0.34888,
tanh,mpmath,64,2.45848e-13,3.84137e-13,1,,0.467366,
tanh,boost,64,2.45853e-13,3.84026e-13,1,,8.14427,
