bin_left,bin_right,count
3.0323e-15,2.28728e-14,1
2.28728e-14,4.27133e-14,2
4.27133e-14,6.25539e-14,2
6.25539e-14,8.23944e-14,3
8.23944e-14,1.02235e-13,2
1.02235e-13,1.22075e-13,2
1.22075e-13,1.41916e-13,2
1.41916e-13,1.61756e-13,3
1.61756e-13,1.81597e-13,0
1.81597e-13,2.01437e-13,1
2.01437e-13,2.21278e-13,0
2.21278e-13,2.41119e-13,5
2.41119e-13,2.60959e-13,2
2.60959e-13,2.808e-13,1
2.808e-13,3.0064e-13,2
3.0064e-13,3.20481e-13,2
3.20481e-13,3.40321e-13,3
3.40321e-13,3.60162e-13,1
3.60162e-13,3.80002e-13,1
3.80002e-13,3.99843e-13,4
3.99843e-13,4.19683e-13,5
4.19683e-13,4.39524e-13,1
4.39524e-13,4.59364e-13,5
4.59364e-13,4.79205e-13,8
4.79205e-13,4.99045e-13,6
