bin_left,bin_right,count
5.00044e-13,5.55005e-13,15
5.55005e-13,6.09965e-13,6
6.09965e-13,6.64926e-13,6
6.64926e-13,7.19886e-13,4
7.19886e-13,7.74847e-13,3
7.74847e-13,8.29807e-13,4
8.29807e-13,8.84768e-13,5
8.84768e-13,9.39728e-13,2
9.39728e-13,9.94689e-13,1
9.94689e-13,1.04965e-12,1
1.04965e-12,1.10461e-12,3
1.10461e-12,1.15957e-12,1
1.15957e-12,1.21453e-12,1
1.21453e-12,1.26949e-12,0
1.26949e-12,1.32445e-12,1
1.32445e-12,1.37941e-12,1
1.37941e-12,1.43437e-12,1
1.43437e-12,1.48933e-12,0
1.48933e-12,1.54429e-12,1
1.54429e-12,1.59925e-12,0
1.59925e-12,1.65421e-12,1
1.65421e-12,1.70918e-12,3
1.70918e-12,1.76414e-12,2
1.76414e-12,1.8191e-12,1
1.8191e-12,1.87406e-12,1
