bin_left,bin_right,count
5.973e-14,1.83851e-12,56
1.83851e-12,3.61729e-12,2
3.61729e-12,5.39607e-12,2
5.39607e-12,7.17486e-12,0
7.17486e-12,8.95364e-12,0
8.95364e-12,1.07324e-11,0
1.07324e-11,1.25112e-11,0
1.25112e-11,1.429e-11,0
1.429e-11,1.60688e-11,0
1.60688e-11,1.78475e-11,1
1.78475e-11,1.96263e-11,0
1.96263e-11,2.14051e-11,2
2.14051e-11,2.31839e-11,0
2.31839e-11,2.49627e-11,0
2.49627e-11,2.67415e-11,0
2.67415e-11,2.85202e-11,0
2.85202e-11,3.0299e-11,0
3.0299e-11,3.20778e-11,0
3.20778e-11,3.38566e-11,0
3.38566e-11,3.56354e-11,0
3.56354e-11,3.74141e-11,0
3.74141e-11,3.91929e-11,0
3.91929e-11,4.09717e-11,0
4.09717e-11,4.27505e-11,0
4.27505e-11,4.45293e-11,1
