bin_left,bin_right,count
2.69611e-14,2.21468e-13,17
2.21468e-13,4.15976e-13,10
4.15976e-13,6.10483e-13,12
6.10483e-13,8.0499e-13,2
8.0499e-13,9.99498e-13,2
9.99498e-13,1.19401e-12,4
1.19401e-12,1.38851e-12,2
1.38851e-12,1.58302e-12,0
1.58302e-12,1.77753e-12,4
1.77753e-12,1.97203e-12,0
1.97203e-12,2.16654e-12,2
2.16654e-12,2.36105e-12,1
2.36105e-12,2.55556e-12,1
2.55556e-12,2.75006e-12,0
2.75006e-12,2.94457e-12,0
2.94457e-12,3.13908e-12,0
3.13908e-12,3.33359e-12,2
3.33359e-12,3.52809e-12,0
3.52809e-12,3.7226e-12,2
3.7226e-12,3.91711e-12,0
3.91711e-12,4.11161e-12,1
4.11161e-12,4.30612e-12,0
4.30612e-12,4.50063e-12,0
4.50063e-12,4.69514e-12,1
4.69514e-12,4.88964e-12,1
