bin_left,bin_right,count
4.62737e-15,1.98211e-14,4
1.98211e-14,3.50148e-14,0
3.50148e-14,5.02085e-14,0
5.02085e-14,6.54022e-14,1
6.54022e-14,8.05959e-14,2
8.05959e-14,9.57897e-14,2
9.57897e-14,1.10983e-13,3
1.10983e-13,1.26177e-13,5
1.26177e-13,1.41371e-13,5
1.41371e-13,1.56565e-13,2
1.56565e-13,1.71758e-13,5
1.71758e-13,1.86952e-13,1
1.86952e-13,2.02146e-13,0
2.02146e-13,2.17339e-13,1
2.17339e-13,2.32533e-13,4
2.32533e-13,2.47727e-13,2
2.47727e-13,2.62921e-13,1
2.62921e-13,2.78114e-13,4
2.78114e-13,2.93308e-13,1
2.93308e-13,3.08502e-13,2
3.08502e-13,3.23695e-13,3
3.23695e-13,3.38889e-13,1
3.38889e-13,3.54083e-13,3
3.54083e-13,3.69277e-13,3
3.69277e-13,3.8447e-13,9
