function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
sqrt,c_arb,64,,,,1.03698e-06,0.23775,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,jax_basic,64,1.64799e-17,2.22045e-16,0,1.03698e-06,2591.21,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,jax_adaptive,64,9.56335e-13,4.12916e-11,0,1.03699e-06,4.62409,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,jax_rigorous,64,9.56335e-13,4.12916e-11,0,1.03699e-06,5.75887,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,scipy,64,9.56335e-13,4.12916e-11,1,,0.154551,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,jax_point,64,9.56335e-13,4.12916e-11,1,,3.01947,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,mpmath,64,9.56335e-13,4.12916e-11,1,,0.697779,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,boost,64,9.56335e-13,4.12916e-11,1,,21.5438,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cos,c_arb,64,,,,1.1943e-06,0.133668,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cos,jax_basic,64,7.96346e-17,2.22045e-16,0,1.1943e-06,3.08627,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
