bin_left,bin_right,count
5.00044e-13,5.52909e-13,28
5.52909e-13,6.05773e-13,7
6.05773e-13,6.58638e-13,5
6.58638e-13,7.11502e-13,5
7.11502e-13,7.64366e-13,8
7.64366e-13,8.17231e-13,8
8.17231e-13,8.70095e-13,5
8.70095e-13,9.22959e-13,7
9.22959e-13,9.75824e-13,5
9.75824e-13,1.02869e-12,5
1.02869e-12,1.08155e-12,7
1.08155e-12,1.13442e-12,5
1.13442e-12,1.18728e-12,6
1.18728e-12,1.24015e-12,2
1.24015e-12,1.29301e-12,1
1.29301e-12,1.34587e-12,1
1.34587e-12,1.39874e-12,4
1.39874e-12,1.4516e-12,3
1.4516e-12,1.50447e-12,1
1.50447e-12,1.55733e-12,2
1.55733e-12,1.6102e-12,1
1.6102e-12,1.66306e-12,2
1.66306e-12,1.71593e-12,3
1.71593e-12,1.76879e-12,2
1.76879e-12,1.82165e-12,5
