bin_left,bin_right,count
8.50361e-15,2.81608e-14,3
2.81608e-14,4.7818e-14,1
4.7818e-14,6.74752e-14,4
6.74752e-14,8.71324e-14,0
8.71324e-14,1.0679e-13,4
1.0679e-13,1.26447e-13,4
1.26447e-13,1.46104e-13,4
1.46104e-13,1.65761e-13,1
1.65761e-13,1.85418e-13,3
1.85418e-13,2.05076e-13,5
2.05076e-13,2.24733e-13,2
2.24733e-13,2.4439e-13,3
2.4439e-13,2.64047e-13,2
2.64047e-13,2.83704e-13,3
2.83704e-13,3.03362e-13,7
3.03362e-13,3.23019e-13,5
3.23019e-13,3.42676e-13,3
3.42676e-13,3.62333e-13,4
3.62333e-13,3.8199e-13,4
3.8199e-13,4.01647e-13,8
4.01647e-13,4.21305e-13,12
4.21305e-13,4.40962e-13,6
4.40962e-13,4.60619e-13,11
4.60619e-13,4.80276e-13,8
4.80276e-13,4.99933e-13,21
