bin_left,bin_right,count
1.19453e-14,8.25573e-14,12
8.25573e-14,1.53169e-13,8
1.53169e-13,2.23781e-13,11
2.23781e-13,2.94393e-13,14
2.94393e-13,3.65005e-13,3
3.65005e-13,4.35617e-13,11
4.35617e-13,5.06229e-13,4
5.06229e-13,5.76841e-13,5
5.76841e-13,6.47453e-13,3
6.47453e-13,7.18065e-13,7
7.18065e-13,7.88677e-13,5
7.88677e-13,8.59289e-13,8
8.59289e-13,9.29901e-13,9
9.29901e-13,1.00051e-12,1
1.00051e-12,1.07113e-12,1
1.07113e-12,1.14174e-12,4
1.14174e-12,1.21235e-12,2
1.21235e-12,1.28296e-12,3
1.28296e-12,1.35357e-12,2
1.35357e-12,1.42419e-12,4
1.42419e-12,1.4948e-12,1
1.4948e-12,1.56541e-12,2
1.56541e-12,1.63602e-12,2
1.63602e-12,1.70663e-12,2
1.70663e-12,1.77725e-12,4
