bin_left,bin_right,count
1.87589e-15,2.14084e-13,27
2.14084e-13,4.26293e-13,22
4.26293e-13,6.38501e-13,18
6.38501e-13,8.5071e-13,15
8.5071e-13,1.06292e-12,8
1.06292e-12,1.27513e-12,6
1.27513e-12,1.48734e-12,5
1.48734e-12,1.69954e-12,6
1.69954e-12,1.91175e-12,3
1.91175e-12,2.12396e-12,4
2.12396e-12,2.33617e-12,0
2.33617e-12,2.54838e-12,3
2.54838e-12,2.76059e-12,3
2.76059e-12,2.97279e-12,2
2.97279e-12,3.185e-12,0
3.185e-12,3.39721e-12,0
3.39721e-12,3.60942e-12,0
3.60942e-12,3.82163e-12,0
3.82163e-12,4.03384e-12,0
4.03384e-12,4.24605e-12,2
4.24605e-12,4.45825e-12,0
4.45825e-12,4.67046e-12,1
4.67046e-12,4.88267e-12,0
4.88267e-12,5.09488e-12,2
5.09488e-12,5.30709e-12,1
