bin_left,bin_right,count
1.22593e-14,2.71655e-14,3
2.71655e-14,4.20717e-14,0
4.20717e-14,5.69779e-14,0
5.69779e-14,7.18841e-14,5
7.18841e-14,8.67903e-14,9
8.67903e-14,1.01696e-13,1
1.01696e-13,1.16603e-13,3
1.16603e-13,1.31509e-13,5
1.31509e-13,1.46415e-13,4
1.46415e-13,1.61321e-13,5
1.61321e-13,1.76228e-13,4
1.76228e-13,1.91134e-13,7
1.91134e-13,2.0604e-13,5
2.0604e-13,2.20946e-13,1
2.20946e-13,2.35852e-13,7
2.35852e-13,2.50759e-13,6
2.50759e-13,2.65665e-13,3
2.65665e-13,2.80571e-13,6
2.80571e-13,2.95477e-13,3
2.95477e-13,3.10383e-13,8
3.10383e-13,3.2529e-13,7
3.2529e-13,3.40196e-13,1
3.40196e-13,3.55102e-13,2
3.55102e-13,3.70008e-13,15
3.70008e-13,3.84914e-13,18
