bin_left,bin_right,count
3.0323e-15,2.29128e-14,5
2.29128e-14,4.27933e-14,4
4.27933e-14,6.26738e-14,2
6.26738e-14,8.25542e-14,6
8.25542e-14,1.02435e-13,5
1.02435e-13,1.22315e-13,3
1.22315e-13,1.42196e-13,5
1.42196e-13,1.62076e-13,4
1.62076e-13,1.81957e-13,2
1.81957e-13,2.01837e-13,3
2.01837e-13,2.21718e-13,4
2.21718e-13,2.41598e-13,6
2.41598e-13,2.61479e-13,5
2.61479e-13,2.81359e-13,2
2.81359e-13,3.0124e-13,2
3.0124e-13,3.2112e-13,3
3.2112e-13,3.41001e-13,5
3.41001e-13,3.60881e-13,2
3.60881e-13,3.80762e-13,5
3.80762e-13,4.00642e-13,6
4.00642e-13,4.20523e-13,11
4.20523e-13,4.40403e-13,2
4.40403e-13,4.60283e-13,6
4.60283e-13,4.80164e-13,13
4.80164e-13,5.00044e-13,17
