bin_left,bin_right,count
7.06935e-14,2.15303e-13,32
2.15303e-13,3.59913e-13,20
3.59913e-13,5.04523e-13,11
5.04523e-13,6.49133e-13,9
6.49133e-13,7.93743e-13,8
7.93743e-13,9.38353e-13,8
9.38353e-13,1.08296e-12,3
1.08296e-12,1.22757e-12,2
1.22757e-12,1.37218e-12,1
1.37218e-12,1.51679e-12,3
1.51679e-12,1.6614e-12,3
1.6614e-12,1.80601e-12,1
1.80601e-12,1.95062e-12,2
1.95062e-12,2.09523e-12,1
2.09523e-12,2.23984e-12,3
2.23984e-12,2.38445e-12,2
2.38445e-12,2.52906e-12,2
2.52906e-12,2.67367e-12,0
2.67367e-12,2.81828e-12,3
2.81828e-12,2.96289e-12,2
2.96289e-12,3.1075e-12,4
3.1075e-12,3.25211e-12,2
3.25211e-12,3.39672e-12,0
3.39672e-12,3.54133e-12,3
3.54133e-12,3.68594e-12,3
