bin_left,bin_right,count
5.75096e-14,1.77094e-12,101
1.77094e-12,3.48437e-12,6
3.48437e-12,5.1978e-12,5
5.1978e-12,6.91123e-12,6
6.91123e-12,8.62466e-12,3
8.62466e-12,1.03381e-11,1
1.03381e-11,1.20515e-11,1
1.20515e-11,1.37649e-11,1
1.37649e-11,1.54784e-11,0
1.54784e-11,1.71918e-11,0
1.71918e-11,1.89052e-11,1
1.89052e-11,2.06187e-11,2
2.06187e-11,2.23321e-11,0
2.23321e-11,2.40455e-11,0
2.40455e-11,2.5759e-11,0
2.5759e-11,2.74724e-11,0
2.74724e-11,2.91858e-11,0
2.91858e-11,3.08992e-11,0
3.08992e-11,3.26127e-11,0
3.26127e-11,3.43261e-11,0
3.43261e-11,3.60395e-11,0
3.60395e-11,3.7753e-11,0
3.7753e-11,3.94664e-11,0
3.94664e-11,4.11798e-11,0
4.11798e-11,4.28932e-11,1
