bin_left,bin_right,count
2.69507e-14,9.77796e-14,9
9.77796e-14,1.68608e-13,11
1.68608e-13,2.39437e-13,9
2.39437e-13,3.10266e-13,10
3.10266e-13,3.81095e-13,3
3.81095e-13,4.51924e-13,7
4.51924e-13,5.22753e-13,14
5.22753e-13,5.93582e-13,8
5.93582e-13,6.64411e-13,2
6.64411e-13,7.3524e-13,7
7.3524e-13,8.06069e-13,6
8.06069e-13,8.76897e-13,1
8.76897e-13,9.47726e-13,6
9.47726e-13,1.01856e-12,3
1.01856e-12,1.08938e-12,4
1.08938e-12,1.16021e-12,3
1.16021e-12,1.23104e-12,5
1.23104e-12,1.30187e-12,5
1.30187e-12,1.3727e-12,2
1.3727e-12,1.44353e-12,0
1.44353e-12,1.51436e-12,2
1.51436e-12,1.58519e-12,4
1.58519e-12,1.65602e-12,2
1.65602e-12,1.72684e-12,3
1.72684e-12,1.79767e-12,2
