bin_left,bin_right,count
1.57652e-14,8.40176e-13,121
8.40176e-13,1.66459e-12,2
1.66459e-12,2.489e-12,1
2.489e-12,3.31341e-12,1
3.31341e-12,4.13782e-12,1
4.13782e-12,4.96223e-12,0
4.96223e-12,5.78664e-12,0
5.78664e-12,6.61105e-12,0
6.61105e-12,7.43546e-12,0
7.43546e-12,8.25987e-12,0
8.25987e-12,9.08428e-12,0
9.08428e-12,9.90869e-12,0
9.90869e-12,1.07331e-11,0
1.07331e-11,1.15575e-11,0
1.15575e-11,1.23819e-11,0
1.23819e-11,1.32063e-11,0
1.32063e-11,1.40307e-11,0
1.40307e-11,1.48552e-11,0
1.48552e-11,1.56796e-11,0
1.56796e-11,1.6504e-11,0
1.6504e-11,1.73284e-11,1
1.73284e-11,1.81528e-11,0
1.81528e-11,1.89772e-11,0
1.89772e-11,1.98016e-11,0
1.98016e-11,2.0626e-11,1
