bin_left,bin_right,count
2.31369e-15,2.07373e-13,31
2.07373e-13,4.12431e-13,18
4.12431e-13,6.1749e-13,13
6.1749e-13,8.22549e-13,7
8.22549e-13,1.02761e-12,11
1.02761e-12,1.23267e-12,7
1.23267e-12,1.43773e-12,5
1.43773e-12,1.64278e-12,4
1.64278e-12,1.84784e-12,4
1.84784e-12,2.0529e-12,2
2.0529e-12,2.25796e-12,5
2.25796e-12,2.46302e-12,4
2.46302e-12,2.66808e-12,2
2.66808e-12,2.87314e-12,5
2.87314e-12,3.0782e-12,0
3.0782e-12,3.28326e-12,2
3.28326e-12,3.48832e-12,0
3.48832e-12,3.69337e-12,2
3.69337e-12,3.89843e-12,2
3.89843e-12,4.10349e-12,0
4.10349e-12,4.30855e-12,0
4.30855e-12,4.51361e-12,1
4.51361e-12,4.71867e-12,1
4.71867e-12,4.92373e-12,0
4.92373e-12,5.12879e-12,2
