bin_left,bin_right,count
1.04257e-14,3.00104e-14,4
3.00104e-14,4.95952e-14,1
4.95952e-14,6.91799e-14,1
6.91799e-14,8.87647e-14,3
8.87647e-14,1.08349e-13,2
1.08349e-13,1.27934e-13,3
1.27934e-13,1.47519e-13,0
1.47519e-13,1.67104e-13,1
1.67104e-13,1.86688e-13,2
1.86688e-13,2.06273e-13,0
2.06273e-13,2.25858e-13,0
2.25858e-13,2.45443e-13,1
2.45443e-13,2.65027e-13,2
2.65027e-13,2.84612e-13,0
2.84612e-13,3.04197e-13,2
3.04197e-13,3.23782e-13,0
3.23782e-13,3.43366e-13,1
3.43366e-13,3.62951e-13,5
3.62951e-13,3.82536e-13,1
3.82536e-13,4.02121e-13,1
4.02121e-13,4.21705e-13,4
4.21705e-13,4.4129e-13,5
4.4129e-13,4.60875e-13,6
4.60875e-13,4.8046e-13,8
4.8046e-13,5.00044e-13,11
