bin_left,bin_right,count
7.10265e-14,2.07807e-13,16
2.07807e-13,3.44588e-13,10
3.44588e-13,4.81368e-13,2
4.81368e-13,6.18149e-13,5
6.18149e-13,7.54929e-13,6
7.54929e-13,8.9171e-13,7
8.9171e-13,1.02849e-12,2
1.02849e-12,1.16527e-12,0
1.16527e-12,1.30205e-12,1
1.30205e-12,1.43883e-12,0
1.43883e-12,1.57561e-12,1
1.57561e-12,1.71239e-12,1
1.71239e-12,1.84917e-12,2
1.84917e-12,1.98595e-12,2
1.98595e-12,2.12274e-12,0
2.12274e-12,2.25952e-12,2
2.25952e-12,2.3963e-12,0
2.3963e-12,2.53308e-12,2
2.53308e-12,2.66986e-12,0
2.66986e-12,2.80664e-12,0
2.80664e-12,2.94342e-12,2
2.94342e-12,3.0802e-12,0
3.0802e-12,3.21698e-12,1
3.21698e-12,3.35376e-12,1
3.35376e-12,3.49054e-12,1
