bin_left,bin_right,count
5.59552e-14,1.25802e-12,54
1.25802e-12,2.46008e-12,6
2.46008e-12,3.66214e-12,0
3.66214e-12,4.8642e-12,1
4.8642e-12,6.06626e-12,0
6.06626e-12,7.26832e-12,1
7.26832e-12,8.47038e-12,0
8.47038e-12,9.67244e-12,0
9.67244e-12,1.08745e-11,1
1.08745e-11,1.20766e-11,0
1.20766e-11,1.32786e-11,0
1.32786e-11,1.44807e-11,0
1.44807e-11,1.56827e-11,0
1.56827e-11,1.68848e-11,0
1.68848e-11,1.80869e-11,0
1.80869e-11,1.92889e-11,0
1.92889e-11,2.0491e-11,0
2.0491e-11,2.1693e-11,0
2.1693e-11,2.28951e-11,0
2.28951e-11,2.40972e-11,0
2.40972e-11,2.52992e-11,0
2.52992e-11,2.65013e-11,0
2.65013e-11,2.77034e-11,0
2.77034e-11,2.89054e-11,0
2.89054e-11,3.01075e-11,1
