function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes
sqrt,c_arb,64,,,,1.03698e-06,0.23775,
sqrt,jax_basic,64,1.64799e-17,2.22045e-16,0,1.03698e-06,2591.21,
sqrt,jax_adaptive,64,9.56335e-13,4.12916e-11,0,1.03699e-06,4.62409,
sqrt,jax_rigorous,64,9.56335e-13,4.12916e-11,0,1.03699e-06,5.75887,
sqrt,scipy,64,9.56335e-13,4.12916e-11,1,,0.154551,
sqrt,jax_point,64,9.56335e-13,4.12916e-11,1,,3.01947,
sqrt,mpmath,64,9.56335e-13,4.12916e-11,1,,0.697779,
sqrt,boost,64,9.56335e-13,4.12916e-11,1,,21.5438,
cos,c_arb,64,,,,1.1943e-06,0.133668,
cos,jax_basic,64,7.96346e-17,2.22045e-16,0,1.1943e-06,3.08627,
cos,jax_adaptive,64,3.33159e-13,5.00044e-13,0,1.1943e-06,3.19972,
cos,jax_rigorous,64,3.33159e-13,5.00044e-13,0,1.1943e-06,2.90972,
cos,scipy,64,3.33159e-13,5.00044e-13,1,,0.155498,
cos,jax_point,64,3.33159e-13,5.00044e-13,1,,2.62971,
cos,mpmath,64,3.3316e-13,5.00044e-13,1,,2.46184,
cos,boost,64,3.33159e-13,5.00044e-13,1,,20.7589,
log,c_arb,64,,,,1.98976e-06,0.111377,
log,jax_basic,64,4.00071e-17,2.22045e-16,0,1.98976e-06,5.95697,
log,jax_adaptive,64,1.16827e-12,3.01075e-11,0,1.98977e-06,3.97881,
log,jax_rigorous,64,1.16827e-12,3.01075e-11,0,1.98977e-06,2.5903,
log,scipy,64,1.16827e-12,3.01075e-11,1,,0.005791,
log,jax_point,64,1.16827e-12,3.01075e-11,1,,3.08949,
log,mpmath,64,1.16827e-12,3.01075e-11,1,,2.88339,
log,boost,64,1.16827e-12,3.01075e-11,1,,23.873,
sinh,c_arb,64,,,,3.76921e-06,0.22449,
sinh,jax_basic,64,3.16587e-17,4.44089e-16,0,3.76921e-06,2.93924,
sinh,jax_adaptive,64,7.23207e-13,1.76925e-12,0,3.76921e-06,2.93933,
sinh,jax_rigorous,64,7.23207e-13,1.76925e-12,0,3.76921e-06,2.60044,
sinh,scipy,64,7.23202e-13,1.76925e-12,1,,0.058403,
sinh,jax_point,64,7.23207e-13,1.76925e-12,1,,2.70916,
sinh,mpmath,64,7.23221e-13,1.76925e-12,1,,0.843378,
sinh,boost,64,7.23202e-13,1.76925e-12,1,,13.2142,
tan,c_arb,64,,,,3.11465e-06,0.096514,
tan,jax_basic,64,5.7273e-17,2.22045e-16,0,3.11465e-06,3.30825,
tan,jax_adaptive,64,1.21249e-12,5.31797e-12,0,3.11465e-06,2.50675,
tan,jax_rigorous,64,1.21249e-12,5.31797e-12,0,3.11466e-06,2.71879,
tan,scipy,64,1.21247e-12,5.31797e-12,1,,0.016067,
tan,jax_point,64,1.21249e-12,5.31797e-12,1,,4.65552,
tan,mpmath,64,1.21247e-12,5.31797e-12,1,,4.55747,
tan,boost,64,1.21247e-12,5.31797e-12,1,,15.82,
cosh,c_arb,64,,,,2.76038e-06,0.099989,
cosh,jax_basic,64,6.93889e-18,2.22045e-16,0,2.76038e-06,2.91719,
cosh,jax_adaptive,64,9.06508e-13,1.82432e-12,0,2.76038e-06,2.88421,
cosh,jax_rigorous,64,9.06508e-13,1.82432e-12,0,2.76038e-06,2.59504,
cosh,scipy,64,9.06501e-13,1.82432e-12,1,,0.008101,
cosh,jax_point,64,9.06508e-13,1.82432e-12,1,,2.31788,
cosh,mpmath,64,9.06497e-13,1.82432e-12,1,,0.543106,
cosh,boost,64,9.06501e-13,1.82432e-12,1,,7.77845,
tanh,c_arb,64,,,,1.00684e-06,0.079052,
tanh,jax_basic,64,5.81132e-17,2.22045e-16,0,1.00684e-06,5.47761,
tanh,jax_adaptive,64,2.39734e-13,3.84359e-13,0,1.00684e-06,3.80339,
tanh,jax_rigorous,64,2.39734e-13,3.84359e-13,0,1.00684e-06,2.5683,
tanh,scipy,64,2.39714e-13,3.84359e-13,1,,0.070413,
tanh,jax_point,64,2.39734e-13,3.84359e-13,1,,3.47881,
tanh,mpmath,64,2.39724e-13,3.84359e-13,1,,0.65165,
tanh,boost,64,2.39728e-13,3.84359e-13,1,,9.55913,
exp,c_arb,64,,,,3.57471e-06,0.072158,
exp,jax_basic,64,1.14058e-16,1.77636e-15,0,3.57471e-06,2.76012,
exp,jax_adaptive,64,8.93694e-13,3.49054e-12,0,3.57472e-06,3.26961,
exp,jax_rigorous,64,8.93694e-13,3.49054e-12,0,3.57472e-06,4.12881,
exp,scipy,64,8.93683e-13,3.49054e-12,1,,0.070649,
exp,jax_point,64,8.93694e-13,3.49054e-12,1,,2.35065,
exp,mpmath,64,8.93683e-13,3.49054e-12,1,,0.415429,
exp,boost,64,8.93683e-13,3.49054e-12,1,,8.58163,
sin,c_arb,64,,,,1.10355e-06,0.108846,
sin,jax_basic,64,6.20164e-17,2.22045e-16,0,1.10355e-06,4.3999,
sin,jax_adaptive,64,3.54305e-13,5.00044e-13,0,1.10355e-06,3.2233,
sin,jax_rigorous,64,3.54305e-13,5.00044e-13,0,1.10355e-06,2.83236,
sin,scipy,64,3.54303e-13,5.00044e-13,1,,0.091367,
sin,jax_point,64,3.54305e-13,5.00044e-13,1,,2.65435,
sin,mpmath,64,3.54303e-13,5.00044e-13,1,,1.38999,
sin,boost,64,3.54303e-13,5.00044e-13,1,,7.52852,
