bin_left,bin_right,count
3.47031e-15,2.33244e-14,4
2.33244e-14,4.31785e-14,0
4.31785e-14,6.30326e-14,2
6.30326e-14,8.28866e-14,1
8.28866e-14,1.02741e-13,2
1.02741e-13,1.22595e-13,2
1.22595e-13,1.42449e-13,1
1.42449e-13,1.62303e-13,0
1.62303e-13,1.82157e-13,1
1.82157e-13,2.02011e-13,3
2.02011e-13,2.21865e-13,2
2.21865e-13,2.41719e-13,1
2.41719e-13,2.61573e-13,2
2.61573e-13,2.81427e-13,6
2.81427e-13,3.01282e-13,1
3.01282e-13,3.21136e-13,2
3.21136e-13,3.4099e-13,3
3.4099e-13,3.60844e-13,0
3.60844e-13,3.80698e-13,3
3.80698e-13,4.00552e-13,4
4.00552e-13,4.20406e-13,1
4.20406e-13,4.4026e-13,3
4.4026e-13,4.60114e-13,4
4.60114e-13,4.79968e-13,5
4.79968e-13,4.99822e-13,11
