bin_left,bin_right,count
1.59872e-14,6.82513e-13,60
6.82513e-13,1.34904e-12,1
1.34904e-12,2.01556e-12,1
2.01556e-12,2.68209e-12,0
2.68209e-12,3.34862e-12,1
3.34862e-12,4.01514e-12,0
4.01514e-12,4.68167e-12,0
4.68167e-12,5.34819e-12,0
5.34819e-12,6.01472e-12,0
6.01472e-12,6.68124e-12,0
6.68124e-12,7.34777e-12,0
7.34777e-12,8.0143e-12,0
8.0143e-12,8.68082e-12,0
8.68082e-12,9.34735e-12,0
9.34735e-12,1.00139e-11,0
1.00139e-11,1.06804e-11,0
1.06804e-11,1.13469e-11,0
1.13469e-11,1.20135e-11,0
1.20135e-11,1.268e-11,0
1.268e-11,1.33465e-11,0
1.33465e-11,1.4013e-11,0
1.4013e-11,1.46796e-11,0
1.46796e-11,1.53461e-11,0
1.53461e-11,1.60126e-11,0
1.60126e-11,1.66791e-11,1
