metric,seconds
real_inverse_action_plan_execute_s,1.1e-05
real_inverse_action_plan_compile_s,2.9e-05
real_solve_action_plan_execute_s,3.4e-05
real_apply_plan_warm_s,4.4e-05
real_action_plan_warm_s,5.8e-05
real_inverse_grad_plan_execute_s,7.5e-05
real_apply_plan_precompile_s,8.4e-05
real_action_plan_precompile_s,9.4e-05
real_inverse_action_plan_warm_s,9.8e-05
real_solve_grad_plan_execute_s,0.000102
real_apply_warm_s,0.000139
real_solve_action_plan_warm_s,0.000168
real_minres_plan_execute_s,0.000173
real_action_warm_s,0.000215
real_det_plan_precompile_s,0.00024
real_eigsh_restarted_plan_execute_s,0.00024
real_multi_shift_plan_execute_s,0.000247
real_logdet_grad_compile_s,0.000248
real_multi_shift_plan_warm_s,0.000261
real_logdet_plan_precompile_s,0.000271
