metric,seconds
real_rapply_plan_warm_s,0.001502
real_apply_plan_warm_s,0.001588
real_apply_warm_s,0.001624
real_multi_shift_plan_execute_s,0.001775
real_logdet_grad_execute_s,0.001797
real_apply_plan_precompile_s,0.001879
real_multi_shift_plan_warm_s,0.00217
real_solve_action_plan_compile_s,0.002337
real_logdet_grad_compile_s,0.002348
real_solve_action_plan_execute_s,0.002354
real_inverse_action_plan_warm_s,0.002518
real_logdet_plan_precompile_s,0.002572
real_det_plan_precompile_s,0.00267
real_logdet_plan_warm_s,0.002952
real_solve_grad_plan_execute_s,0.003151
real_logdet_warm_s,0.003406
real_inverse_action_plan_compile_s,0.004325
real_action_plan_warm_s,0.005385
real_action_warm_s,0.00566
real_inverse_action_plan_execute_s,0.008212
