bin_left,bin_right,count
6.84175e-14,1.79652e-13,5
1.79652e-13,2.90886e-13,1
2.90886e-13,4.02121e-13,0
4.02121e-13,5.13355e-13,0
5.13355e-13,6.24589e-13,1
6.24589e-13,7.35824e-13,0
7.35824e-13,8.47058e-13,1
8.47058e-13,9.58292e-13,1
9.58292e-13,1.06953e-12,0
1.06953e-12,1.18076e-12,0
1.18076e-12,1.292e-12,2
1.292e-12,1.40323e-12,0
1.40323e-12,1.51446e-12,0
1.51446e-12,1.6257e-12,0
1.6257e-12,1.73693e-12,0
1.73693e-12,1.84817e-12,2
1.84817e-12,1.9594e-12,0
1.9594e-12,2.07064e-12,0
2.07064e-12,2.18187e-12,1
2.18187e-12,2.2931e-12,0
2.2931e-12,2.40434e-12,0
2.40434e-12,2.51557e-12,0
2.51557e-12,2.62681e-12,1
2.62681e-12,2.73804e-12,0
2.73804e-12,2.84928e-12,1
