run_id,timestamp_utc,tool,command,commit,platform,notes
benchmark_arf-2026-03-26T21:28:18Z,2026-03-26T21:28:18Z,benchmark_arf,"benchmark_arf.py --samples 4096 --which add --runs 3",591217612238e41941ea34b9b29762473bb1e147,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.22"
benchmark_arb_fpwrap-2026-03-26T21:28:19Z,2026-03-26T21:28:19Z,benchmark_arb_fpwrap,"benchmark_arb_fpwrap.py --samples 4096 --which exp --runs 3",591217612238e41941ea34b9b29762473bb1e147,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.02"
benchmark_acf-2026-03-26T21:28:20Z,2026-03-26T21:28:20Z,benchmark_acf,"benchmark_acf.py --samples 4096 --which mul --runs 3",591217612238e41941ea34b9b29762473bb1e147,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.14"
benchmark_fmpr-2026-03-26T21:28:21Z,2026-03-26T21:28:21Z,benchmark_fmpr,"benchmark_fmpr.py --samples 4096 --which mul --runs 3",591217612238e41941ea34b9b29762473bb1e147,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.17"
benchmark_fmpzi-2026-03-26T21:28:22Z,2026-03-26T21:28:22Z,benchmark_fmpzi,"benchmark_fmpzi.py --samples 4096 --which add --runs 3",591217612238e41941ea34b9b29762473bb1e147,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.13"
benchmark_arf-2026-03-27T18:12:25Z,2026-03-27T18:12:25Z,benchmark_arf,"benchmark_arf.py --samples 4096 --which add --runs 3",5e1bef0ba378e627a93e8dd36747e8edb998d510,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.04"
benchmark_arb_fpwrap-2026-03-27T18:12:26Z,2026-03-27T18:12:26Z,benchmark_arb_fpwrap,"benchmark_arb_fpwrap.py --samples 4096 --which exp --runs 3",5e1bef0ba378e627a93e8dd36747e8edb998d510,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.07"
benchmark_acf-2026-03-27T18:12:26Z,2026-03-27T18:12:26Z,benchmark_acf,"benchmark_acf.py --samples 4096 --which mul --runs 3",5e1bef0ba378e627a93e8dd36747e8edb998d510,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.18"
benchmark_fmpr-2026-03-27T18:12:27Z,2026-03-27T18:12:27Z,benchmark_fmpr,"benchmark_fmpr.py --samples 4096 --which mul --runs 3",5e1bef0ba378e627a93e8dd36747e8edb998d510,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.09"
benchmark_fmpzi-2026-03-27T18:12:28Z,2026-03-27T18:12:28Z,benchmark_fmpzi,"benchmark_fmpzi.py --samples 4096 --which add --runs 3",5e1bef0ba378e627a93e8dd36747e8edb998d510,"Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39","warm_time_ms=0.24"
